source,target,value
Joey,Terry,1
Joey,Tim,1
Joey,Tinker,1
Blowfish,Phoebe,1
Blinky,Monica,1
Joey,Ursula,1
Joey,Sonia,1
Joey,Vasa,1
Chandler,Chester,1
Emma-Wemma-Demma,Ross,1
Chandler,Chrissy,1
Chandler,Christine,1
Joey,Woman,1
Joey,Wong,1
Bo,Rachel,1
Joey,Smartie,1
Chandler,Colleen,1
Bob,Machine,1
Ernie,Joey,1
Joey,Phalange,1
Chandler,MONICA,1
Bob,Monica,1
Joey,Phoebe-Estelle,1
Joey,R-R-Richard,1
Joey,ROSS,1
Chan,Eddie,1
Joey,Ramone,1
Erin,Ray,1
Bob,Jade,1
Bob,Franklin,1
Joey,Rossel,1
Joey,Rosstepher,1
Joey,Sam,1
Emma,Judy,1
Chandler,Cop,1
Kurt,Ross,1
Kenny,Rachel,1
Kat,Monica,1
Kate,Victor,1
Kate,Woman,1
Kathy,Phoebe,1
Kay,Rachel,1
Kenneth,Mike,1
Elizabeth,Monica,1
Elizabeth,Geller,1
Kara,Robert,1
Kim,Nancy,1
Elizabeth,Feesen,1
Bill,Rachel,1
Kim,Ross,1
Kinda,Rachel,1
Kreeger,Rachel,1
Kurt,Phoebe,1
Kash,Rachel,1
Kara,Monica,1
Chandler,D,1
Joshua,Waltham,1
Bitsy,Phoebe,1
Chandler,Danielle,1
Josephine,Ross,1
Chandler,Derrick,1
Josh,Ross,1
Chandler,Dick,1
Emily,Geller,1
Ellen,Teleplay,1
Julio,Ross,1
Bing,Robert,1
Chandler,Don,1
Chandler,Dorothy,1
Billy,Monica,1
Billy,Chandler,1
Julie,Thomas,1
Julio,Monica,1
Chandler,Lisa,1
